フォルダ名,コンテンツ名,標準学習時間,URL
【研修動画】会計とは？中小企業にとっての会計の意味を理解しよう,【動画】会計とは？ 中小企業にとっての会計の意味を理解しよう（1/2）,0:27:19,https://01entrepreneur.quizgenerator.net/sys/index.php?action=quizPlayer&options=eyJzY29faWQiOiI1NDcyMTMxIiwiYmFja19saXN0Ijp0cnVlLCJoZWFkZXIiOnsiZ29vZCI6eyJ2aXNpYmxlIjp0cnVlfX0sImZyb21fY291cnNlIjp0cnVlLCJmcm9tX2NvdXJzZV9pZCI6IjU0NzE0OTEifQ%3D%3D
【研修動画】会計とは？中小企業にとっての会計の意味を理解しよう,【動画】会計とは？ 中小企業にとっての会計の意味を理解しよう（2/2）,0:21:12,https://01entrepreneur.quizgenerator.net/sys/?action=quizPlayer&options=eyJzY29faWQiOjU0NzIxMzMsImhlYWRlciI6eyJnb29kIjp7InZpc2libGUiOnRydWV9fSwiYmFja19saXN0Ijp0cnVlfQ%3D%3D
【研修動画】会計とは？中小企業にとっての会計の意味を理解しよう,【修了証】会計とは？中小企業にとっての会計の意味を理解しよう,0:00:00,
【研修動画】会計の基礎知識をおさらいしよう,【動画】会計の基礎知識をおさらいしよう（1/3）,0:36:52,https://01entrepreneur.quizgenerator.net/sys/?action=quizPlayer&options=eyJzY29faWQiOjU0NzIxMzQsImhlYWRlciI6eyJnb29kIjp7InZpc2libGUiOnRydWV9fSwiYmFja19saXN0Ijp0cnVlfQ%3D%3D
【研修動画】会計の基礎知識をおさらいしよう,【動画】会計の基礎知識をおさらいしよう（2/3）,0:23:13,https://01entrepreneur.quizgenerator.net/sys/?action=quizPlayer&options=eyJzY29faWQiOjU0NzIxMzUsImhlYWRlciI6eyJnb29kIjp7InZpc2libGUiOnRydWV9fSwiYmFja19saXN0Ijp0cnVlfQ%3D%3D
【研修動画】会計の基礎知識をおさらいしよう,【動画】会計の基礎知識をおさらいしよう（3/3）,0:31:57,https://01entrepreneur.quizgenerator.net/sys/?action=quizPlayer&options=eyJzY29faWQiOjU0NzIxMzYsImhlYWRlciI6eyJnb29kIjp7InZpc2libGUiOnRydWV9fSwiYmFja19saXN0Ijp0cnVlfQ%3D%3D
【研修動画】会計の基礎知識をおさらいしよう,【修了証】会計の基礎知識をおさらいしよう,0:00:00,
【研修動画】会計という業務の実務での活用を知ろう,【動画】会計業務の実務での活用を知ろう（1/2）,0:30:00,https://01entrepreneur.quizgenerator.net/sys/?action=quizPlayer&options=eyJzY29faWQiOjU0NzIxMzcsImhlYWRlciI6eyJnb29kIjp7InZpc2libGUiOnRydWV9fSwiYmFja19saXN0Ijp0cnVlfQ%3D%3D
【研修動画】会計という業務の実務での活用を知ろう,【動画】会計業務の実務での活用を知ろう（2/2）,0:37:40,https://01entrepreneur.quizgenerator.net/sys/?action=quizPlayer&options=eyJzY29faWQiOjU0NzIxMzgsImhlYWRlciI6eyJnb29kIjp7InZpc2libGUiOnRydWV9fSwiYmFja19saXN0Ijp0cnVlfQ%3D%3D
【研修動画】会計という業務の実務での活用を知ろう,【修了証】会計という業務の実務での活用を知ろう,0:00:00,
【研修動画】会計業務の効率化とは？,【動画】会計業務の効率化とは？（1/2）,0:29:48,https://01entrepreneur.quizgenerator.net/sys/?action=quizPlayer&options=eyJzY29faWQiOjU0NzIxMzksImhlYWRlciI6eyJnb29kIjp7InZpc2libGUiOnRydWV9fSwiYmFja19saXN0Ijp0cnVlfQ%3D%3D
【研修動画】会計業務の効率化とは？,【動画】会計業務の効率化とは？（2/2）,0:33:43,https://01entrepreneur.quizgenerator.net/sys/?action=quizPlayer&options=eyJzY29faWQiOjU0NzIxNDEsImhlYWRlciI6eyJnb29kIjp7InZpc2libGUiOnRydWV9fSwiYmFja19saXN0Ijp0cnVlfQ%3D%3D
【研修動画】会計業務の効率化とは？,【修了証】会計業務の効率化とは？,0:00:00,
【研修動画】会計ソフトの種類を知り、クラウド会計を活用しよう,【動画】会計ソフトの種類を知り、クラウド会計を活用しよう（1/2）,0:32:37,https://01entrepreneur.quizgenerator.net/sys/?action=quizPlayer&options=eyJzY29faWQiOjU0NzIxNDIsImhlYWRlciI6eyJnb29kIjp7InZpc2libGUiOnRydWV9fSwiYmFja19saXN0Ijp0cnVlfQ%3D%3D
【研修動画】会計ソフトの種類を知り、クラウド会計を活用しよう,【動画】会計ソフトの種類を知り、クラウド会計を活用しよう（2/2）,0:21:44,https://01entrepreneur.quizgenerator.net/sys/?action=quizPlayer&options=eyJzY29faWQiOjU0NzIxNDMsImhlYWRlciI6eyJnb29kIjp7InZpc2libGUiOnRydWV9fSwiYmFja19saXN0Ijp0cnVlfQ%3D%3D
【研修動画】会計ソフトの種類を知り、クラウド会計を活用しよう,【修了証】会計ソフトの種類を知り、クラウド会計を活用しよう,0:00:00,
【研修動画】主要なクラウド会計4選を知ろう,【動画】主要なクラウド会計4選を知ろう,0:45:04,https://01entrepreneur.quizgenerator.net/sys/?action=quizPlayer&options=eyJzY29faWQiOjU0NzIxNDQsImhlYWRlciI6eyJnb29kIjp7InZpc2libGUiOnRydWV9fSwiYmFja19saXN0Ijp0cnVlfQ%3D%3D
【研修動画】主要なクラウド会計4選を知ろう,【修了証】主要なクラウド会計4選を知ろう,0:00:00,
【研修動画】クラウド会計の役割を整理しよう,【動画】クラウド会計の役割を整理しよう,0:20:20,https://01entrepreneur.quizgenerator.net/sys/?action=quizPlayer&options=eyJzY29faWQiOjU0NzIxNDUsImhlYWRlciI6eyJnb29kIjp7InZpc2libGUiOnRydWV9fSwiYmFja19saXN0Ijp0cnVlfQ%3D%3D
【研修動画】クラウド会計の役割を整理しよう,【修了証】クラウド会計の役割を整理しよう,0:00:00,
【研修動画】クラウド会計の導入準備を始めよう,【動画】クラウド会計の導入準備を始めよう（1/2）,0:28:26,https://01entrepreneur.quizgenerator.net/sys/?action=quizPlayer&options=eyJzY29faWQiOjU0NzIxNDYsImhlYWRlciI6eyJnb29kIjp7InZpc2libGUiOnRydWV9fSwiYmFja19saXN0Ijp0cnVlfQ%3D%3D
