フォルダ名,コンテンツ名,標準学習時間,URL
【研修動画】Copilot概要と基本操作,【動画】Microsoft 365 Copilotの概要,0:05:46,https://01entrepreneur.quizgenerator.net/sys/?action=quizPlayer&options=eyJzY29faWQiOjU0MzE4OTUsImhlYWRlciI6eyJnb29kIjp7InZpc2libGUiOnRydWV9fSwiYmFja19saXN0Ijp0cnVlfQ%3D%3D
【研修動画】Copilot概要と基本操作,【動画】Copilot for Microsoft 365の特徴,0:04:49,https://01entrepreneur.quizgenerator.net/sys/?action=quizPlayer&options=eyJzY29faWQiOjU0MzE4OTYsImhlYWRlciI6eyJnb29kIjp7InZpc2libGUiOnRydWV9fSwiYmFja19saXN0Ijp0cnVlfQ%3D%3D
【研修動画】Copilot概要と基本操作,【修了証】Copilot概要と基本操作（研修動画）,0:00:00,
【研修動画】Microsoft 365 各アプリでのCopilot活用 Word編,【動画】Copilotを用いたWordの基本的な使い方,0:06:20,https://01entrepreneur.quizgenerator.net/sys/?action=quizPlayer&options=eyJzY29faWQiOjU0MzE4OTcsImhlYWRlciI6eyJnb29kIjp7InZpc2libGUiOnRydWV9fSwiYmFja19saXN0Ijp0cnVlfQ%3D%3D
【研修動画】Microsoft 366 各アプリでのCopilot活用 Word編,【動画】文章の品質を向上させるためのMicrosoft 365 Copilotの活用方法,0:03:23,https://01entrepreneur.quizgenerator.net/sys/?action=quizPlayer&options=eyJzY29faWQiOjU0MzE4OTgsImhlYWRlciI6eyJnb29kIjp7InZpc2libGUiOnRydWV9fSwiYmFja19saXN0Ijp0cnVlfQ%3D%3D
【研修動画】Microsoft 367 各アプリでのCopilot活用 Word編,【動画】プロフェッショナルな報告書を迅速かつ簡単に作成する方法,0:03:26,https://01entrepreneur.quizgenerator.net/sys/?action=quizPlayer&options=eyJzY29faWQiOjU0MzE4OTksImhlYWRlciI6eyJnb29kIjp7InZpc2libGUiOnRydWV9fSwiYmFja19saXN0Ijp0cnVlfQ%3D%3D
【研修動画】Microsoft 368 各アプリでのCopilot活用 Word編,【動画】ブログ記事を執筆する方法,0:04:58,https://01entrepreneur.quizgenerator.net/sys/?action=quizPlayer&options=eyJzY29faWQiOjU0MzE5MDAsImhlYWRlciI6eyJnb29kIjp7InZpc2libGUiOnRydWV9fSwiYmFja19saXN0Ijp0cnVlfQ%3D%3D
【研修動画】Microsoft 369 各アプリでのCopilot活用 Word編,【修了証】Microsoft 365 各アプリでのCopilot活用 Word編（研修動画）,0:00:00,
【研修動画】Microsoft 365 各アプリでのCopilot活用 Excel編,【動画】ExcelでのMicrosoft 365 Copilot活用ガイド,0:04:00,https://01entrepreneur.quizgenerator.net/sys/?action=quizPlayer&options=eyJzY29faWQiOjU0MzE5MDEsImhlYWRlciI6eyJnb29kIjp7InZpc2libGUiOnRydWV9fSwiYmFja19saXN0Ijp0cnVlfQ%3D%3D
【研修動画】Microsoft 366 各アプリでのCopilot活用 Excel編,【動画】Excelでのデータ分析にMicrosoft 365 Copilotを活用する,0:04:03,https://01entrepreneur.quizgenerator.net/sys/?action=quizPlayer&options=eyJzY29faWQiOjU0MzE5MDIsImhlYWRlciI6eyJnb29kIjp7InZpc2libGUiOnRydWV9fSwiYmFja19saXN0Ijp0cnVlfQ%3D%3D
【研修動画】Microsoft 367 各アプリでのCopilot活用 Excel編,【動画】CopilotにExcelの便利な技を教えてもらおう,0:06:14,https://01entrepreneur.quizgenerator.net/sys/?action=quizPlayer&options=eyJzY29faWQiOjU0MzE5MDMsImhlYWRlciI6eyJnb29kIjp7InZpc2libGUiOnRydWV9fSwiYmFja19saXN0Ijp0cnVlfQ%3D%3D
