フォルダ名,コンテンツ名,標準学習時間,URL
【研修動画】ChatGPT概論,【動画】ChatGPTとは何か？,0:09:16,https://01entrepreneur.quizgenerator.net/sys/index.php?action=quizPlayer&options=eyJzY29faWQiOiI1Nzc2ODUwIiwiYmFja19saXN0Ijp0cnVlLCJoZWFkZXIiOnsiZ29vZCI6eyJ2aXNpYmxlIjp0cnVlfX0sImZyb21fY291cnNlIjp0cnVlLCJmcm9tX2NvdXJzZV9pZCI6IjU3NDg3NDQifQ%3D%3D
【研修動画】ChatGPT概論,【理解度テスト】ChatGPTとは何か？,0:01:00,https://01entrepreneur.quizgenerator.net/sys/?action=quizPlayer&options=eyJzY29faWQiOjU3NzY4NTEsImhlYWRlciI6eyJnb29kIjp7InZpc2libGUiOnRydWV9fSwiYmFja19saXN0Ijp0cnVlfQ%3D%3D
【研修動画】ChatGPT概論,【動画】ChatGPTのアカウント作成方法,0:06:43,https://01entrepreneur.quizgenerator.net/sys/?action=quizPlayer&options=eyJzY29faWQiOjU3NzY4NTMsImhlYWRlciI6eyJnb29kIjp7InZpc2libGUiOnRydWV9fSwiYmFja19saXN0Ijp0cnVlfQ%3D%3D
【研修動画】ChatGPT概論,【理解度テスト】ChatGPTのアカウント作成方法,0:01:00,https://01entrepreneur.quizgenerator.net/sys/?action=quizPlayer&options=eyJzY29faWQiOjU3NzY4NTQsImhlYWRlciI6eyJnb29kIjp7InZpc2libGUiOnRydWV9fSwiYmFja19saXN0Ijp0cnVlfQ%3D%3D
【研修動画】ChatGPT概論,【動画】ChatGPTの基本的な使い方,0:10:18,https://01entrepreneur.quizgenerator.net/sys/?action=quizPlayer&options=eyJzY29faWQiOjU3NzY4NTcsImhlYWRlciI6eyJnb29kIjp7InZpc2libGUiOnRydWV9fSwiYmFja19saXN0Ijp0cnVlfQ%3D%3D
【研修動画】ChatGPT概論,【理解度テスト】ChatGPTの基本的な使い方,0:01:00,https://01entrepreneur.quizgenerator.net/sys/?action=quizPlayer&options=eyJzY29faWQiOjU3NzY4NTgsImhlYWRlciI6eyJnb29kIjp7InZpc2libGUiOnRydWV9fSwiYmFja19saXN0Ijp0cnVlfQ%3D%3D
【研修動画】ChatGPT概論,【動画】ChatGPTができないこと,0:05:07,https://01entrepreneur.quizgenerator.net/sys/?action=quizPlayer&options=eyJzY29faWQiOjU3NzY4NjAsImhlYWRlciI6eyJnb29kIjp7InZpc2libGUiOnRydWV9fSwiYmFja19saXN0Ijp0cnVlfQ%3D%3D
【研修動画】ChatGPT概論,【理解度テスト】ChatGPTができないこと,0:01:00,https://01entrepreneur.quizgenerator.net/sys/?action=quizPlayer&options=eyJzY29faWQiOjU3NzY4NjEsImhlYWRlciI6eyJnb29kIjp7InZpc2libGUiOnRydWV9fSwiYmFja19saXN0Ijp0cnVlfQ%3D%3D
【研修動画】ChatGPT概論,【動画】Made by OpenAI,0:10:04,https://01entrepreneur.quizgenerator.net/sys/?action=quizPlayer&options=eyJzY29faWQiOjU3NzY4NjMsImhlYWRlciI6eyJnb29kIjp7InZpc2libGUiOnRydWV9fSwiYmFja19saXN0Ijp0cnVlfQ%3D%3D
【研修動画】ChatGPT概論,【修了証】ChatGPT概論（研修動画）,0:00:00,
【研修動画】ビジネスコミュニケーション,【動画】営業メールテンプレートの作成,0:07:39,https://01entrepreneur.quizgenerator.net/sys/?action=quizPlayer&options=eyJzY29faWQiOjU3NzY4NjcsImhlYWRlciI6eyJnb29kIjp7InZpc2libGUiOnRydWV9fSwiYmFja19saXN0Ijp0cnVlfQ%3D%3D
【研修動画】ビジネスコミュニケーション,【理解度テスト】営業メールテンプレートの作成,0:01:00,https://01entrepreneur.quizgenerator.net/sys/?action=quizPlayer&options=eyJzY29faWQiOjU3NzY4NjgsImhlYWRlciI6eyJnb29kIjp7InZpc2libGUiOnRydWV9fSwiYmFja19saXN0Ijp0cnVlfQ%3D%3D
【研修動画】ビジネスコミュニケーション,【動画】テレアポの電話スクリプト作成,0:05:31,https://01entrepreneur.quizgenerator.net/sys/?action=quizPlayer&options=eyJzY29faWQiOjU3NzY4NzEsImhlYWRlciI6eyJnb29kIjp7InZpc2libGUiOnRydWV9fSwiYmFja19saXN0Ijp0cnVlfQ%3D%3D
【研修動画】ビジネスコミュニケーション,【理解度テスト】テレアポの電話スクリプト作成,0:01:00,https://01entrepreneur.quizgenerator.net/sys/?action=quizPlayer&options=eyJzY29faWQiOjU3NzY4NzIsImhlYWRlciI6eyJnb29kIjp7InZpc2libGUiOnRydWV9fSwiYmFja19saXN0Ijp0cnVlfQ%3D%3D
【研修動画】ビジネスコミュニケーション,【動画】報告会議やミーティングの議題設定,0:05:55,https://01entrepreneur.quizgenerator.net/sys/?action=quizPlayer&options=eyJzY29faWQiOjU3NzY4NzQsImhlYWRlciI6eyJnb29kIjp7InZpc2libGUiOnRydWV9fSwiYmFja19saXN0Ijp0cnVlfQ%3D%3D
【研修動画】ビジネスコミュニケーション,【理解度テスト】報告会議やミーティングの議題設定,0:01:00,https://01entrepreneur.quizgenerator.net/sys/?action=quizPlayer&options=eyJzY29faWQiOjU3NzY4NzUsImhlYWRlciI6eyJnb29kIjp7InZpc2libGUiOnRydWV9fSwiYmFja19saXN0Ijp0cnVlfQ%3D%3D
【研修動画】ビジネスコミュニケーション,【動画】クロスレビュー,0:10:03,https://01entrepreneur.quizgenerator.net/sys/?action=quizPlayer&options=eyJzY29faWQiOjU3NzY4NzgsImhlYWRlciI6eyJnb29kIjp7InZpc2libGUiOnRydWV9fSwiYmFja19saXN0Ijp0cnVlfQ%3D%3D
【研修動画】ビジネスコミュニケーション,【動画】アイデアレビュー,0:11:10,https://01entrepreneur.quizgenerator.net/sys/?action=quizPlayer&options=eyJzY29faWQiOjU3NzY4ODAsImhlYWRlciI6eyJnb29kIjp7InZpc2libGUiOnRydWV9fSwiYmFja19saXN0Ijp0cnVlfQ%3D%3D
【研修動画】ビジネスコミュニケーション,【動画】アンケート作成,0:10:21,https://01entrepreneur.quizgenerator.net/sys/?action=quizPlayer&options=eyJzY29faWQiOjU3NzY4ODIsImhlYWRlciI6eyJnb29kIjp7InZpc2libGUiOnRydWV9fSwiYmFja19saXN0Ijp0cnVlfQ%3D%3D
【研修動画】ビジネスコミュニケーション,【修了証】ビジネスコミュニケーション（研修動画）,0:00:00,
