フォルダ名,コンテンツ名,標準学習時間,URL
【研修動画】企業内新規事業開発概観（No.1-11）,【動画】No.1 はじめに,0:03:08,https://01entrepreneur.quizgenerator.net/sys/index.php?action=quizPlayer&options=eyJzY29faWQiOiI1Nzc0NjAxIiwiYmFja19saXN0Ijp0cnVlLCJoZWFkZXIiOnsiZ29vZCI6eyJ2aXNpYmxlIjp0cnVlfX0sImZyb21fY291cnNlIjp0cnVlLCJmcm9tX2NvdXJzZV9pZCI6IjU3NDg3NDQifQ%3D%3D
【研修動画】企業内新規事業開発概観（No.1-11）,【動画】No.2 企業が生き残るために新規事業が必要な理由,0:05:10,https://01entrepreneur.quizgenerator.net/sys/?action=quizPlayer&options=eyJzY29faWQiOjU3NzQ2MDMsImhlYWRlciI6eyJnb29kIjp7InZpc2libGUiOnRydWV9fSwiYmFja19saXN0Ijp0cnVlfQ%3D%3D
【研修動画】企業内新規事業開発概観（No.1-11）,【動画】No.3 企業内新規事業開発の注意点,0:06:18,https://01entrepreneur.quizgenerator.net/sys/?action=quizPlayer&options=eyJzY29faWQiOjU3NzQ2MDYsImhlYWRlciI6eyJnb29kIjp7InZpc2libGUiOnRydWV9fSwiYmFja19saXN0Ijp0cnVlfQ%3D%3D
【研修動画】企業内新規事業開発概観（No.1-11）,【動画】No.4 事業の全体構造について,0:04:19,https://01entrepreneur.quizgenerator.net/sys/?action=quizPlayer&options=eyJzY29faWQiOjU3NzQ2MDksImhlYWRlciI6eyJnb29kIjp7InZpc2libGUiOnRydWV9fSwiYmFja19saXN0Ijp0cnVlfQ%3D%3D
【研修動画】企業内新規事業開発概観（No.1-11）,【動画】No.5 新規事業の心構え,0:06:12,https://01entrepreneur.quizgenerator.net/sys/?action=quizPlayer&options=eyJzY29faWQiOjU3NzQ2MTIsImhlYWRlciI6eyJnb29kIjp7InZpc2libGUiOnRydWV9fSwiYmFja19saXN0Ijp0cnVlfQ%3D%3D
【研修動画】企業内新規事業開発概観（No.1-11）,【動画】No.6 新規事業開発における手法と手段,0:06:55,https://01entrepreneur.quizgenerator.net/sys/?action=quizPlayer&options=eyJzY29faWQiOjU3NzQ2MTUsImhlYWRlciI6eyJnb29kIjp7InZpc2libGUiOnRydWV9fSwiYmFja19saXN0Ijp0cnVlfQ%3D%3D
【研修動画】企業内新規事業開発概観（No.1-11）,【動画】No.7 新規事業とは何か？企業内新規事業の定義,0:06:00,https://01entrepreneur.quizgenerator.net/sys/?action=quizPlayer&options=eyJzY29faWQiOjU3NzQ2MTgsImhlYWRlciI6eyJnb29kIjp7InZpc2libGUiOnRydWV9fSwiYmFja19saXN0Ijp0cnVlfQ%3D%3D
【研修動画】企業内新規事業開発概観（No.1-11）,【動画】No.8 7つのビジネスモデル,0:08:15,https://01entrepreneur.quizgenerator.net/sys/?action=quizPlayer&options=eyJzY29faWQiOjU3NzQ2MjEsImhlYWRlciI6eyJnb29kIjp7InZpc2libGUiOnRydWV9fSwiYmFja19saXN0Ijp0cnVlfQ%3D%3D
【研修動画】企業内新規事業開発概観（No.1-11）,【動画】No.9 ビジネスモデルの難易度,0:05:01,https://01entrepreneur.quizgenerator.net/sys/?action=quizPlayer&options=eyJzY29faWQiOjU3NzQ2MjQsImhlYWRlciI6eyJnb29kIjp7InZpc2libGUiOnRydWV9fSwiYmFja19saXN0Ijp0cnVlfQ%3D%3D
【研修動画】企業内新規事業開発概観（No.1-11）,【動画】No.10 ビジネスモデルと商材の選び方,0:06:16,https://01entrepreneur.quizgenerator.net/sys/?action=quizPlayer&options=eyJzY29faWQiOjU3NzQ2MjcsImhlYWRlciI6eyJnb29kIjp7InZpc2libGUiOnRydWV9fSwiYmFja19saXN0Ijp0cnVlfQ%3D%3D
